dev. loss,trainingAcc,devAcc
1883.8688,0.0024120454293218895,0.002157771149330456
1072.649,0.3856017165476675,0.37945040299549404
843.1292,0.5166734490029966,0.5022529669353303
751.7909,0.5626428914949503,0.5416005584819445
721.1966,0.5891457955680515,0.5650821856952466
627.48987,0.620376604639118,0.5860887224725518
634.4148,0.6233139728459917,0.5750460112965666
576.4834,0.665376789611927,0.6068414038205242
568.5294,0.6737893529651141,0.6133147172685156
530.5461,0.6664348340793903,0.604493241099194
492.5214,0.7049535718249418,0.6176302595671765
488.72287,0.7192334726795161,0.6232150790125024
483.35626,0.7244719026303134,0.6319096274671575
433.1177,0.7304576227294588,0.6270229104524973
424.71625,0.748289001516777,0.6355270673351526
437.24457,0.7497909807258333,0.6296249286031605
419.42392,0.7631756131848618,0.636669416767151
372.76993,0.7692131256705265,0.6332423684711557
371.5346,0.7769597869113241,0.6402868566351463
370.91113,0.7890274129702933,0.6385098686298153
374.02606,0.7899004846287596,0.6350828203338199
329.77707,0.7887462543006178,0.6227073681538364
327.3961,0.8035588768451037,0.6301961033191598
336.1006,0.807347119973364,0.6397156819191471
347.17044,0.8026636084495579,0.6221996572951703
327.56778,0.7875698272353964,0.6246112838738338
324.68646,0.8061484961710629,0.6291806816018277
302.40128,0.827154008360771,0.626451735736498
