1;atm_location;O;O;O;O
;cây;B-transaction_point;O;O;O
;atm;I-transaction_point;O;O;O
;gần;O;O;O;O
;tôi;O;O;O;O
;;;;;
2;atm_location;O;O;O;O
;tôi;O;O;O;O
;đang;O;O;O;O
;ở;O;O;O;O
;sapa;B-address;B-district;O;O
;và;O;O;O;O
;muốn;O;O;O;O
;tìm;O;O;O;O
;cây;B-transaction_point;O;O;O
;rút;I-transaction_point;O;O;O
;tiền;I-transaction_point;O;O;O
;thì;O;O;O;O
;tìm;O;O;O;O
;ở;O;O;O;O
;đâu;O;O;O;O
;;;;;
3;atm_location;O;O;O;O
;cho;O;O;O;O
;hỏi;O;O;O;O
;cây;B-transaction_point;O;O;O
;atm;I-transaction_point;O;O;O
;khu;O;O;O;O
;vực;O;O;O;O
;thanh;B-address;B-district;O;O
;xuân;I-address;I-district;O;O
;hà;I-address;B-province;O;O
;nội;I-address;I-province;O;O
;;;;;
4;atm_location;O;O;O;O
;quanh;O;O;O;O
;đây;O;O;O;O
;có;O;O;O;O
;cây;B-transaction_point;O;O;O
;atm;I-transaction_point;O;O;O
;nào;O;O;O;O
;ko;O;O;O;O
;;;;;
5;atm_location;O;O;O;O
;quanh;O;O;O;O
;trương;B-address;B-address_primary;O;O
;đại;I-address;I-address_primary;O;O
;học;I-address;I-address_primary;O;O
;mỏ;I-address;I-address_primary;O;O
;có;O;O;O;O
;cây;B-transaction_point;O;O;O
;atm;I-transaction_point;O;O;O
;nào;O;O;O;O
;ko;O;O;O;O
;;;;;
6;atm_location;O;O;O;O
;ngân;O;O;O;O
;hàng;O;O;O;O
;minh;O;O;O;O
;có;O;O;O;O
;cây;B-transaction_point;O;O;O
;rút;I-transaction_point;O;O;O
;tiền;I-transaction_point;O;O;O
;ở;O;O;O;O
;tiền;B-address;B-province;O;O
;giang;I-address;I-province;O;O
;không;O;O;O;O
;;;;;
7;atm_location;O;O;O;O
;danh;O;O;O;O
;sách;O;O;O;O
;atm;B-transaction_point;O;O;O
;ở;O;O;O;O
;đảo;B-address;O;O;O
;lý;I-address;B-district;O;O
;sơn;I-address;I-district;O;O
;;;;;
8;atm_location;O;O;O;O
;danh;O;O;O;O
;sách;O;O;O;O
;cây;B-transaction_point;O;O;O
;atm;I-transaction_point;O;O;O
;;;;;
9;atm_location;O;O;O;O
;Tôi;O;O;O;O
;muốn;O;O;O;O
;tìm;O;O;O;O
;ATM;B-transaction_point;O;O;O
;gần;O;O;O;O
;nhất;O;O;O;O
;;;;;
10;atm_location;O;O;O;O
;Tôi;O;O;O;O
;muốn;O;O;O;O
;tìm;O;O;O;O
;địa;O;O;O;O
;điểm;O;O;O;O
;ATM?;B-transaction_point;O;O;O
;;;;;
11;atm_location;O;O;O;O
;ở;O;O;O;O
;cần;B-address;B-province;O;O
;thơ;I-address;I-province;O;O
;có;O;O;O;O
;cây;B-transaction_point;O;O;O
;ở;O;O;O;O
;chỗ;O;O;O;O
;nào;O;O;O;O
;;;;;
12;atm_location;O;O;O;O
;quanh;O;O;O;O
;hồ;B-address;B-address_primary;O;O
;gươm;I-address;I-address_primary;O;O
;có;O;O;O;O
;cây;B-transaction_point;O;O;O
;atm;I-transaction_point;O;O;O
;GBank;B-bank_FI_name;O;O;O
;không;O;O;O;O
;vậy;O;O;O;O
;;;;;
13;atm_location;O;O;O;O
;khu;O;O;O;O
;mĩ;B-address;B-district;O;O
;đình;I-address;I-district;O;O
;có;O;O;O;O
;cây;B-transaction_point;O;O;O
;atm;I-transaction_point;O;O;O
;ko;O;O;O;O
;;;;;
14;atm_location;O;O;O;O
;Máy;B-transaction_point;O;O;O
;ATM;I-transaction_point;O;O;O
;của;O;O;O;O
;GBank;B-bank_FI_name;O;O;O
;đặt;O;O;O;O
;ở;O;O;O;O
;đâu?;O;O;O;O
;;;;;
15;atm_location;O;O;O;O
;cây;B-transaction_point;O;O;O
;atm;I-transaction_point;O;O;O
;gần;O;O;O;O
;nhất;O;O;O;O
;ở;O;O;O;O
;đâu;O;O;O;O
;;;;;
16;atm_location;O;O;O;O
;Ở;O;O;O;O
;Chương;B-address;B-district;O;O
;Mỹ;I-address;I-district;O;O
;có;O;O;O;O
;cây;B-transaction_point;O;O;O
;ATM;I-transaction_point;O;O;O
;của;O;O;O;O
;GBank;B-bank_FI_name;O;O;O
;không?;O;O;O;O
;;;;;
17;atm_location;O;O;O;O
;có;O;O;O;O
;cây;B-transaction_point;O;O;O
;nào;O;O;O;O
;gần;O;O;O;O
;nhà;O;O;O;O
;t;O;O;O;O
;ko;O;O;O;O
;;;;;
18;atm_location;O;O;O;O
;tôi;O;O;O;O
;muốn;O;O;O;O
;tìm;O;O;O;O
;cây;B-transaction_point;O;O;O
;rút;I-transaction_point;O;O;O
;tiền;I-transaction_point;O;O;O
;ở;O;O;O;O
;tp;B-address;O;O;O
;ninh;I-address;B-district;O;O
;bình;I-address;I-district;O;O
;;;;;
19;atm_location;O;O;O;O
;tôi;O;O;O;O
;muốn;O;O;O;O
;tìm;O;O;O;O
