loss,trainingAccuracy,validationAccuracy
114.036064,0.0071477980170624855,0.00844567159330843
44.818317,0.0,0.0
34.00979,0.13908231496426102,0.17305505928211792
27.378073,0.3531012220428868,0.3448107844729576
22.754812,0.5302743832142034,0.5152671755725191
18.818956,0.5592344938897855,0.5449082345298035
15.182943,0.6278072400276689,0.610199772616534
12.497509,0.7499654138805626,0.7395647230794218
9.933732,0.8154945815079548,0.816063017703427
7.9922967,0.8679271385750519,0.8655189215527043
6.6508102,0.9121512566290062,0.9165989930160793
5.494151,0.9258934747521328,0.9230144550917655
4.7900167,0.9377910998385981,0.9442098424557415
4.164265,0.939774037353009,0.9461588435926588
3.736008,0.9412035969564215,0.9463212603540685
3.4187012,0.9430943048189994,0.9492447620594445
3.0845919,0.949135347014065,0.9537112229982134
2.8429358,0.9496426100991469,0.9537112229982134
2.5981946,0.9554991929905464,0.9567971414649992
2.401559,0.9565137191607102,0.9594770180282605
2.2230392,0.9586811159787871,0.9606951437388338
2.0351956,0.965598339866267,0.962725353256456
1.8903135,0.9643993543924372,0.9637810622056197
1.7547411,0.9703481669356698,0.9639434789670294
1.6238991,0.9726077934055799,0.9659736884846516
1.5450604,0.9711321189762508,0.966460938768881
1.4414853,0.9761125201752363,0.9665421471495859
1.3615955,0.9758358312197372,0.9680851063829787
1.2910608,0.9772192759972331,0.9670293974338152
1.2208103,0.9783721466451464,0.9672730225759298
1.1821406,0.9779571132118976,0.9697092739970765
1.1320935,0.9789716393820613,0.965730063342537
1.0770308,0.9791560986857275,0.9695468572356667
1.0385182,0.9796633617708093,0.9695468572356667
